Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-January-2022,1840.00,1840.00,1802.00,1834.80,1828.371428571428571428,70,27,127986.00,50,71.43,38.00,-5.20
28-January-2022,1830.00,1838.00,1806.00,1815.00,1820.270833333333333333,192,14,349492.00,114,59.38,32.00,-15.00
27-January-2022,1822.00,1870.00,1785.00,1815.13,1802.222222222222222222,396,71,713680.00,325,82.07,85.00,-6.87
25-January-2022,1815.00,1890.00,1790.00,1880.42,1820.275555555555555555,225,37,409562.00,207,92.00,100.00,65.42
24-January-2022,1850.00,1850.00,1793.00,1826.57,1825.246666666666666666,150,44,273787.00,107,71.33,57.00,-23.43
21-January-2022,1860.10,1874.00,1842.25,1842.25,1856.753623188405797101,69,30,128116.00,46,66.67,31.75,-17.85
20-January-2022,1900.00,1900.00,1865.00,1870.00,1874.066666666666666666,30,22,56222.00,15,50.00,35.00,-30.00
19-January-2022,1900.00,1900.00,1890.00,1890.00,1891.000000000000000000,21,8,39711.00,17,80.95,10.00,-10.00
18-January-2022,1930.00,1930.00,1850.00,1878.79,1891.044701986754966887,604,70,1142191.00,522,86.42,80.00,-51.21
17-January-2022,1935.00,1940.00,1925.00,1937.20,1933.150000000000000000,20,15,38663.00,14,70.00,15.00,2.20
14-January-2022,1930.00,1930.00,1905.00,1918.50,1916.285714285714285714,70,27,134140.00,54,77.14,25.00,-11.50
13-January-2022,1920.00,1930.00,1905.00,1928.73,1914.634920634920634920,63,23,120622.00,40,63.49,25.00,8.73
12-January-2022,1910.00,1920.00,1910.00,1911.00,1910.821428571428571428,56,12,107006.00,38,67.86,10.00,1.00
11-January-2022,1900.00,1920.00,1893.00,1903.77,1910.904761904761904761,126,27,240774.00,117,92.86,27.00,3.77
10-January-2022,1880.00,1900.00,1875.15,1883.46,1886.957446808510638297,47,26,88687.00,27,57.45,24.85,3.46
7-January-2022,1880.00,1880.00,1865.00,1865.62,1867.811320754716981132,53,19,98994.00,44,83.02,15.00,-14.38
6-January-2022,1890.00,1899.00,1842.25,1862.85,1861.631147540983606557,122,73,227119.00,88,72.13,56.75,-27.15
5-January-2022,1870.00,1890.00,1851.37,1889.00,1870.826315789473684210,190,78,355457.00,140,73.68,38.63,19.00
4-January-2022,1860.00,1880.00,1845.10,1875.67,1865.111764705882352941,170,61,317069.00,120,70.59,34.90,15.67
3-January-2022,1835.00,1872.67,1835.00,1866.34,1852.783783783783783783,148,29,274212.00,125,84.46,37.67,31.34
